Nom,set,RDC,IRDC,RACrms,IRACrms,SaO2
e,1,1.2091801869037038,1.6374799768166008,0.001547839170258193,0.003443412916882142,96.17305824819292
e,2,1.2184799684297054,1.590683137386217,0.002597367880989847,0.005188069806824498,93.6757818777631
e,3,1.492615811453743,2.0650654996968707,0.013036072569809251,0.007914635409517212,73.11075797392304
e,4,1.8938749482927735,2.9210417232471384,0.0018762866252094717,0.004347834413908941,93.82561403742329
a,2,1.5987965360233223,2.506994523494457,0.001036386783220808,0.0022399375836689448,94.16715278273745
a,4,1.8928277014841326,2.964115244862883,0.0013122090361698713,0.002079699854726627,88.16277998808995
b,2,0.8998515630604229,1.3480677252818822,0.0017060574808684327,0.00271666270898764,86.55208523455194
b,4,1.168308410644531,1.7998445783342634,0.0021183330493817843,0.002199787479365496,89.13268870743161
t,27,3.1779833820580086,3.252569847322453,0.008339047413084673,0.014424345040990131,95.27090568036802
e,5,2.945114036603162,2.9892727911135566,0.003635280383876519,0.005630070579563236,99.15843111195954
e,6,3.125677852307336,3.196045533950719,0.005156880635886519,0.009595642332135747,96.57602491606433
e,7,2.248602993205442,2.321075870492364,0.004243257896096335,0.006642160310963172,97.29575964524614
e,8,2.6043319831460208,2.569146767309156,0.0062645114675688165,0.009705138220535552,97.98922113272056
a,6,3.045687530000331,3.0079403289967335,0.004160728796390633,0.00744721022798417,96.5846397591682
f,1,2.3357819896633347,2.6562479094596907,0.003431095466950655,0.003664770545014263,99.85908753900453
e,9,2.4434480958065743,2.5451567353501825,0.004939472353767549,0.006111157913995028,93.53010682916899
e,10,2.378286174192267,2.4196268588136145,0.003735568214723071,0.004336942220819807,96.86202721322526
e,13,2.9782948790135984,3.034771650348936,0.006690508200096134,0.011716512989125712,95.15178241077669
a,7,3.00830758500888,3.120946267371244,0.010105810298970355,0.014005725812196283,91.91077276612103
e,14,2.288729469193466,2.326832295583686,0.0032053662655998,0.00613382869285609,99.94203391629736
e,15,2.5570846036505928,2.7047496278614216,0.003767321253968543,0.005562864626172257,95.00714202304388
e,16,2.093021243817015,2.273929368775326,0.002201478233055144,0.0037671247875276596,95.47688709092151
e,17,2.054023599370185,2.196972113968596,0.00451715046739502,0.006703605849453423,93.73438958905611
f,2,2.0062104036866537,2.16310756850268,0.0029724887032036977,0.004099777505357117,90.53557882019521
